Rank,Geographic Area,2019
1,"New York, New York","8,336,817"
2,"Los Angeles, California","3,979,576"
3,"Chicago, Illinois","2,693,976"
4,"Houston, Texas","2,320,268"
5,"Phoenix, Arizona","1,680,992"
6,"Philadelphia, Pennsylvania","1,584,064"
7,"San Antonio, Texas","1,547,253"
8,"San Diego, California","1,423,851"
9,"Dallas, Texas","1,343,573"
10,"San Jose, California","1,021,795"
11,"Austin, Texas","978,908"
12,"Jacksonville, Florida","911,507"
13,"Fort Worth, Texas","909,585"
14,"Columbus, Ohio","898,553"
15,"Charlotte, North Carolina","885,708"
16,"San Francisco, California","881,549"
17,"Indianapolis city (balance), Indiana","876,384"
18,"Seattle, Washington","753,675"
19,"Denver, Colorado","727,211"
20,"Washington, District of Columbia","705,749"
21,"Boston, Massachusetts","692,600"
22,"El Paso, Texas","681,728"
23,"Nashville-Davidson metropolitan government (balance), Tennessee","670,820"
24,"Detroit, Michigan","670,031"
25,"Oklahoma City, Oklahoma","655,057"
26,"Portland, Oregon","654,741"
27,"Las Vegas, Nevada","651,319"
28,"Memphis, Tennessee","651,073"
29,"Louisville/Jefferson County metro government (balance), Kentucky","617,638"
30,"Baltimore, Maryland","593,490"
31,"Milwaukee, Wisconsin","590,157"
32,"Albuquerque, New Mexico","560,513"
33,"Tucson, Arizona","548,073"
34,"Fresno, California","531,576"
35,"Mesa, Arizona","518,012"
36,"Sacramento, California","513,624"
37,"Atlanta, Georgia","506,811"
38,"Kansas City, Missouri","495,327"
39,"Colorado Springs, Colorado","478,221"
40,"Omaha, Nebraska","478,192"
41,"Raleigh, North Carolina","474,069"
42,"Miami, Florida","467,963"
43,"Long Beach, California","462,628"
44,"Virginia Beach, Virginia","449,974"
45,"Oakland, California","433,031"
46,"Minneapolis, Minnesota","429,606"
47,"Tulsa, Oklahoma","401,190"
48,"Tampa, Florida","399,700"
49,"Arlington, Texas","398,854"
50,"New Orleans, Louisiana","390,144"
51,"Wichita, Kansas","389,938"
52,"Bakersfield, California","384,145"
53,"Cleveland, Ohio","381,009"
54,"Aurora, Colorado","379,289"
55,"Anaheim, California","350,365"
56,"Urban Honolulu CDP, Hawaii","345,064"
57,"Santa Ana, California","332,318"
58,"Riverside, California","331,360"
59,"Corpus Christi, Texas","326,586"
60,"Lexington-Fayette urban county, Kentucky","323,152"
61,"Henderson, Nevada","320,189"
62,"Stockton, California","312,697"
63,"St. Paul, Minnesota","308,096"
64,"Cincinnati, Ohio","303,940"
65,"St. Louis, Missouri","300,576"
66,"Pittsburgh, Pennsylvania","300,286"
67,"Greensboro, North Carolina","296,710"
68,"Lincoln, Nebraska","289,102"
69,"Anchorage municipality, Alaska","288,000"
70,"Plano, Texas","287,677"
71,"Orlando, Florida","287,442"
72,"Irvine, California","287,401"
73,"Newark, New Jersey","282,011"
74,"Durham, North Carolina","278,993"
75,"Chula Vista, California","274,492"
76,"Toledo, Ohio","272,779"
77,"Fort Wayne, Indiana","270,402"
78,"St. Petersburg, Florida","265,351"
79,"Laredo, Texas","262,491"
80,"Jersey City, New Jersey","262,075"
81,"Chandler, Arizona","261,165"
82,"Madison, Wisconsin","259,680"
83,"Lubbock, Texas","258,862"
84,"Scottsdale, Arizona","258,069"
85,"Reno, Nevada","255,601"
86,"Buffalo, New York","255,284"
87,"Gilbert town, Arizona","254,114"
88,"Glendale, Arizona","252,381"
89,"North Las Vegas, Nevada","251,974"
90,"Winston-Salem, North Carolina","247,945"
91,"Chesapeake, Virginia","244,835"
92,"Norfolk, Virginia","242,742"
93,"Fremont, California","241,110"
94,"Garland, Texas","239,928"
95,"Irving, Texas","239,798"
96,"Hialeah, Florida","233,339"
97,"Richmond, Virginia","230,436"
98,"Boise City, Idaho","228,959"
99,"Spokane, Washington","222,081"
100,"Baton Rouge, Louisiana","220,236"
101,"Tacoma, Washington","217,827"
102,"San Bernardino, California","215,784"
103,"Modesto, California","215,196"
104,"Fontana, California","214,547"
105,"Des Moines, Iowa","214,237"
106,"Moreno Valley, California","213,055"
107,"Santa Clarita, California","212,979"
108,"Fayetteville, North Carolina","211,657"
109,"Birmingham, Alabama","209,403"
110,"Oxnard, California","208,881"
111,"Rochester, New York","205,695"
112,"Port St. Lucie, Florida","201,846"
113,"Grand Rapids, Michigan","201,013"
114,"Huntsville, Alabama","200,574"
115,"Salt Lake City, Utah","200,567"
116,"Frisco, Texas","200,490"
117,"Yonkers, New York","200,370"
118,"Amarillo, Texas","199,371"
119,"Glendale, California","199,303"
120,"Huntington Beach, California","199,223"
121,"McKinney, Texas","199,177"
122,"Montgomery, Alabama","198,525"
123,"Augusta-Richmond County consolidated government (balance), Georgia","197,888"
124,"Aurora, Illinois","197,757"
125,"Akron, Ohio","197,597"
126,"Little Rock, Arkansas","197,312"
127,"Tempe, Arizona","195,805"
128,"Columbus, Georgia","195,769"
129,"Overland Park, Kansas","195,494"
130,"Grand Prairie, Texas","194,543"
131,"Tallahassee, Florida","194,500"
132,"Cape Coral, Florida","194,495"
133,"Mobile, Alabama","188,720"
134,"Knoxville, Tennessee","187,603"
135,"Shreveport, Louisiana","187,112"
136,"Worcester, Massachusetts","185,428"
137,"Ontario, California","185,010"
138,"Vancouver, Washington","184,463"
139,"Sioux Falls, South Dakota","183,793"
140,"Chattanooga, Tennessee","182,799"
141,"Brownsville, Texas","182,781"
142,"Fort Lauderdale, Florida","182,437"
143,"Providence, Rhode Island","179,883"
144,"Newport News, Virginia","179,225"
145,"Rancho Cucamonga, California","177,603"
146,"Santa Rosa, California","176,753"
147,"Peoria, Arizona","175,961"
148,"Oceanside, California","175,742"
149,"Elk Grove, California","174,775"
150,"Salem, Oregon","174,365"
151,"Pembroke Pines, Florida","173,591"
152,"Eugene, Oregon","172,622"
153,"Garden Grove, California","171,644"
154,"Cary town, North Carolina","170,282"
155,"Fort Collins, Colorado","170,243"
156,"Corona, California","169,868"
157,"Springfield, Missouri","167,882"
158,"Jackson, Mississippi","160,628"
159,"Alexandria, Virginia","159,428"
160,"Hayward, California","159,203"
161,"Clarksville, Tennessee","158,146"
162,"Lakewood, Colorado","157,935"
163,"Lancaster, California","157,601"
164,"Salinas, California","155,465"
165,"Palmdale, California","155,079"
166,"Hollywood, Florida","154,817"
167,"Springfield, Massachusetts","153,606"
168,"Macon-Bibb County, Georgia","153,159"
169,"Kansas City, Kansas","152,960"
170,"Sunnyvale, California","152,703"
171,"Pomona, California","151,691"
172,"Killeen, Texas","151,666"
173,"Escondido, California","151,625"
174,"Pasadena, Texas","151,227"
175,"Naperville, Illinois","148,449"
176,"Bellevue, Washington","148,164"
177,"Joliet, Illinois","147,344"
178,"Murfreesboro, Tennessee","146,900"
179,"Midland, Texas","146,038"
180,"Rockford, Illinois","145,609"
181,"Paterson, New Jersey","145,233"
182,"Savannah, Georgia","144,464"
183,"Bridgeport, Connecticut","144,399"
184,"Torrance, California","143,592"
185,"McAllen, Texas","143,268"
186,"Syracuse, New York","142,327"
187,"Surprise, Arizona","141,664"
188,"Denton, Texas","141,541"
189,"Roseville, California","141,500"
190,"Thornton, Colorado","141,464"
191,"Miramar, Florida","141,191"
192,"Pasadena, California","141,029"
193,"Mesquite, Texas","140,937"
194,"Olathe, Kansas","140,545"
195,"Dayton, Ohio","140,407"
196,"Carrollton, Texas","139,248"
197,"Waco, Texas","139,236"
198,"Orange, California","138,669"
199,"Fullerton, California","138,632"
200,"Charleston, South Carolina","137,566"
201,"West Valley City, Utah","135,248"
202,"Visalia, California","134,605"
203,"Hampton, Virginia","134,510"
204,"Gainesville, Florida","133,997"
205,"Warren, Michigan","133,943"
206,"Coral Springs, Florida","133,759"
207,"Cedar Rapids, Iowa","133,562"
208,"Round Rock, Texas","133,372"
209,"Sterling Heights, Michigan","132,438"
